TAG DATABASE: ACTS & POSITIONS
========================================
Total tags: 1632
Categories: 10
Last updated: 2026-02-26

================================================================================
SEXUAL ACTS
================================================================================
*_sex | Wildcard placeholder for various sex acts when the specific type cannot be determined. | act:sexual
1691_position | Four-person position where a central pair performs mutual oral (69) while one partner penetrates and another receives stimulation from the outside. | act:sexual
169_position | Three-person position where two partners perform mutual oral (69) while a third penetrates one of them from behind. | act:sexual
69_position | Simultaneous oral sex where both partners pleasure each other at the same time, with one on top facing the opposite direction. | act:sexual
abdominal_bulge | Visible swelling or distension of the abdomen caused by deep penetration, where the inserted object or organ pushes against the belly wall. | act:sexual
aggressive_kissing | Forceful, intense kissing driven by dominance or overwhelming desire. | act:sexual
all_the_way_through | Extreme fantasy penetration where a penis, tentacle, or object enters one orifice and emerges from another, passing entirely through the body. | act:sexual
all_three_filled | Triple penetration where the mouth, vagina, and anus are simultaneously occupied by penises, toys, or other insertions. | act:sexual
anal | General tag covering any anal sexual activity, applied when the specific act isn't otherwise tagged. | act:sexual
anal_beads | A string of graduated beads inserted into the anus for stimulation. | act:sexual
anal_beads_in_ass | Anal beads specifically inserted into the anus, with each bead popping past the sphincter. | act:sexual
anal_beads_in_cloaca | Anal beads inserted into a cloaca, the shared reproductive and excretory opening found in avian and reptilian species. | act:sexual
anal_beads_in_mouth | Anal beads inserted into or pulled through the mouth, either as a gag-like act or to clean them after use. | act:sexual
anal_beads_in_penis | Anal beads inserted into the urethra of a penis as a form of urethral play. | act:sexual
anal_beads_in_pussy | Anal beads repurposed for vaginal insertion, with each bead providing graduated stretch as it passes the vaginal opening. | act:sexual
anal_beads_in_urethra | Anal beads inserted into the urethra, combining the graduated bead sensation with urethral stretching. | act:sexual
anal_fingering | Insertion of one or more fingers into the anus for sexual stimulation or preparation. | act:sexual
anal_fisting | Insertion of an entire clenched fist or open hand into the anus, stretching the sphincter far beyond normal. | act:sexual
anal_penetration | General tag for anything being inserted into the anus. | act:sexual
anal_prolapse | Rectal tissue pushed outside the anus, usually depicted after intense anal use or extreme stretching. | act:sexual
anal_sex | Penetrative intercourse via the anus, typically with a penis or toy. | act:sexual
anal_tugging | Pulling or tugging on an inserted object, toy, or knot against the resistance of the anal sphincter. | act:sexual
armpit_fetish | Sexual arousal from armpits, typically focused on scent, sweat, hair, or the vulnerability of the exposed area. | act:sexual
armpit_lick | Licking a partner's armpits, often focused on scent, sweat, and the vulnerability of the exposed area. | act:sexual
ass_eating | Oral stimulation of the anus and surrounding area using the mouth, lips, and tongue. | act:sexual
ass_to_mouth | A penis, toy, or fingers are moved directly from anal penetration into the mouth without cleaning in between. | act:sexual
ass_to_mouth_through | An all-the-way-through variant where penetration enters via the anus and exits from the mouth. | act:sexual
ball_lick | Licking a partner's testicles with the tongue, either as part of oral sex or dedicated ball attention. | act:sexual
ball_worship | Prolonged, devoted oral and physical attention to a partner's testicles, including licking, sucking, nuzzling, and cradling. | act:sexual
balls_deep | Full-depth penetration where the penis is buried to the hilt with the testicles pressed against the receiver's body. | act:sexual
balls_sucking | Taking one or both testicles into the mouth and sucking on them. | act:sexual
bareback | Penetrative sex without a condom, emphasising the raw skin-on-skin contact. | act:sexual
barking | Canine vocalisation during sexual excitement or climax, specific to dog and wolf species characters. | act:sexual
bath_sex | Sexual activity in a bath or hot tub, where the warm water and steam add a sensual, intimate atmosphere. | act:sexual
bead_play | General tag for sexual activity involving anal beads, covering insertion, removal, and teasing with them. | act:sexual
bead_removal | Pulling anal beads out of the body, often slowly bead-by-bead or all at once during orgasm. | act:sexual
beakjob | Oral sex performed using a beak instead of lips, specific to avian or gryphon species characters. | act:sexual
belly_lick | Licking across the stomach or abdomen, often trailing downward as teasing foreplay. | act:sexual
bent_over | Sexual position where the receiver bends forward at the waist, often bracing against a surface like a table, counter, or wall. | act:sexual
