TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | An African wild dog species, painted coat in black, tan, and white patches. | species:canid
AI_character | A character who is an artificial intelligence rather than a biological being, whether disembodied or housed in a body. | species:other
alien | An extraterrestrial character, biologically and often visually distinct from Earth species. | species:other
alligator | An alligator species character, large reptilian predator with broad rounded snout. | species:reptile
alpaca | Domesticated South American camelid resembling a small llama, with a long neck, soft fleece, and gentle expressive face. | species:other
amphibian | An amphibian-class character, the cold-blooded class of frogs, salamanders, and newts. | species:amphibian
android | A humanoid robot built to pass as organic, synthetic skin over mechanical skeleton. | species:other
angel | A celestial angelic character, typically winged, with halo, aura, or holy framing. | species:mythical
anteater | A long-snouted insectivore with sticky tongue, powerful forelimbs, and shaggy fur. | species:other
antelope | A slender horned antelope ungulate, fast plains-runner with twisting horns. | species:bovid
anthro | An anthropomorphic character combining human and animal traits, bipedal with animal features. | species:other
ape | A great ape character, the broad species group including gorillas, chimps, and humans. | species:primate
arctic_fox | An Arctic fox species, white winter coat and small ears adapted for polar climate. | species:canid
armadillo | An armoured mammal with banded keratin plating covering the back, defensive and curl-prone. | species:other
arthropod | An arthropod-class character, jointed-legged invertebrates including insects and crustaceans. | species:insect
avian | An avian-class character, the bird family with feathers and beaks as defining traits. | species:avian
axolotl | An aquatic salamander species with external feathery gills and a perpetual juvenile form. | species:amphibian
baboon | A large ground-dwelling baboon primate, distinctive dog-like muzzle and prominent rear callosities. | species:primate
badger | A badger species character, stocky black-and-white striped mustelid with powerful digging claws. | species:mustelid
basilisk | A giant basilisk serpent with a deadly gaze, mythological fantasy creature. | species:reptile
bat | A small flying mammal with leathery wings, the anthro variant sharp-eared and fanged. | species:other
bear | A bear species character, large powerful ursine omnivore with thick fur and short tail. | species:ursid
bearded_dragon | Australian lizard species with spiny throat-beard display, reptilian anthro subject. | species:mythical
beaver | A dam-building beaver rodent species, large flat-tailed semi-aquatic mammal with prominent incisors. | species:rodent
bee | A bee species character, fuzzy yellow-and-black striped pollinator insect. | species:insect
behemoth | An enormous land creature of fantasy or biblical framing, usually massive and quadrupedal. | species:mythical
beluga | A white Arctic beluga whale species, distinctive pale colouration and bulbous melon head. | species:marine
bengal_cat | A Bengal cat breed, distinctive spotted-rosette coat from leopard-cat ancestry. | species:felid
beta_fish | A Siamese fighting fish or Betta, distinctive flowing fins and brilliant colouration. | species:fish
binturong | A Southeast Asian viverrid known as the bearcat, bushy tailed and popcorn-scented. | species:other
bird | A bird species character, feathers and beak the species-defining anatomy. | species:avian
bison | A large bovine bison species, shaggy-shouldered grazing herd animal. | species:bovid
black_bear | A North American black bear species, the smaller and more common bear of the continent. | species:ursid
black_jaguar | A melanistic black jaguar variant, the all-black colour morph of the jaguar species. | species:felid
black_panther | A black panther species character, melanistic leopard or jaguar with all-black coat. | species:felid
blue_tongue_lizard | An Australian blue-tongue lizard skink species, distinctive blue tongue used as warning display. | species:reptile
boa | A boa constrictor snake species, large non-venomous constricting reptile. | species:reptile
boar | A wild pig species with tusks and coarse bristles, more aggressive than domestic pig form. | species:other
bobcat | A bobcat species character, mid-sized wild cat with a short bobbed tail. | species:felid
border_collie | A Border Collie dog breed, black-and-white coat and high-intelligence herding dog. | species:canid
bovine | A bovine cattle-family character, cow or bull species with cloven hooves and horns. | species:bovid
buffalo | A large buffalo or bison species, heavy-bodied grazing herd animal. | species:bovid
bull | A male bovine bull character, heavy-shouldered with horns and aggressive presence. | species:bovid
bunny | A bunny rabbit species character, the casual term for the long-eared lagomorph. | species:lagomorph
bunny_boy | A male humanoid character with rabbit ears and tail, otherwise human in shape. | species:lagomorph
bunny_girl | A female humanoid character with rabbit ears and tail, otherwise human in shape. | species:lagomorph
calico | A cat character with tricolour patched fur, white, orange, and black or grey across the body. | species:other
camel | A large desert-adapted ungulate with one or two humps, long-legged and shaggy. | species:other
canine | A canine character of the dog family, wolves, foxes, and jackals included in the group. | species:canid
caprine | A caprine goat-family character, agile horned ungulate adapted for climbing. | species:bovid
capybara | The world's largest capybara rodent species, semi-aquatic South American mammal. | species:rodent
caracal | A tufted-ear caracal wild cat species, distinctive black ear-tufts the marker. | species:felid
caribou | A reindeer or caribou species, antlered Arctic deer with seasonal migration. | species:cervid
cat | A domestic cat species character, the standard small feline with retractable claws. | species:felid
cat_boy | A male humanoid character with cat ears and tail, otherwise human in shape. | species:felid
cat_girl | A female humanoid character with cat ears and tail, the classic nekomimi. | species:felid
centaur | Mythological creature with a human upper body and a horse's lower body. | species:mythical
cerberus | Three-headed dog from Greek mythology, guardian of the underworld. | species:mythical
cervine | A cervine character of the deer family, antlered ungulates with delicate frames. | species:cervid
cetacean | A cetacean character of the whale and dolphin family, marine mammals adapted for ocean life. | species:marine
chameleon | A chameleon species character, distinctive colour-changing skin and independent eye movement. | species:reptile
cheetah | A cheetah species character, slender spotted big cat built for sprinting. | species:felid
chimera | A multi-species hybrid creature, combining parts of lion, goat, serpent, or others into one body. | species:mythical
chimpanzee | An African chimpanzee great ape, the closest living relative to humans. | species:primate
chinchilla | A soft-furred chinchilla rodent species, dense plush fur prized for its softness. | species:rodent
chipmunk | A small striped chipmunk rodent, distinctive facial and back stripes the species marker. | species:rodent
chiropteran | A member of the bat family, formal taxonomy term for bat-derived anthros. | species:other
civet | A small nocturnal viverrid, slender and cat-like with musky scent glands. | species:other
clouded_leopard | A small Southeast Asian clouded leopard, distinctive cloud-shaped rosettes on the coat. | species:felid
clownfish | An orange and white tropical clownfish species, the symbiotic anemone-dweller. | species:fish
coati | A South American procyonid with a long ringed tail and an inquisitive upturned snout. | species:other
cockatrice | Mythological hybrid of rooster and serpent, said to kill with its gaze. | species:mythical
corgi | A Welsh Corgi dog breed, short legs and long body with a stub or tail. | species:canid
cougar | A cougar mountain lion or puma species, large solitary North American big cat. | species:felid
coyote | A coyote species character, smaller relative of the wolf with a tan and grey coat. | species:canid
crab | A crustacean crab species, sideways-walking shellfish with prominent claws. | species:insect
crocodile | A crocodile species character, large reptilian predator with narrow pointed snout. | species:reptile
crow | A crow species character, glossy black feathers and a hoarse caw the marker. | species:avian
crystal_creature | A creature whose body is composed of or studded with crystal, refractive in place of skin or fur. | species:other
cub | A young animal character, the juvenile form of an anthro species. | species:other
dalmatian | A Dalmatian dog breed, white short-haired coat with prominent black spots all over. | species:canid
deer | A deer species character, antlered ungulate with slender legs and a short tail. | species:cervid
demon | Infernal or demonic character, horns and dark aesthetics typical but variable. | species:mythical
dingo | An Australian dingo wild dog species, sandy-tan coat and pricked ears. | species:canid
dinosaur | A dinosaur species character, general tag when a more specific dinosaur tag doesn't fit. | species:other
dire_wolf | An oversized dire wolf species, prehistoric wolf larger and bulkier than modern wolves. | species:canid
direwolf | An oversized prehistoric wolf species, bulkier and more muscular than modern wolves. | species:other
doberman | A Doberman breed canine character, sleek black-and-tan short coat and pointed ears. | species:canid
doe | A female deer character, the antlerless feminine version of the cervine species. | species:cervid
dog | A domestic dog species character, the broad species encompassing all dog breeds. | species:canid
dog_boy | A male humanoid character with dog ears and tail, otherwise human in shape. | species:canid
dog_girl | A female humanoid character with dog ears and tail, otherwise human in shape. | species:canid
dolphin | A dolphin species character, intelligent marine mammal with a beaked snout and flippers. | species:marine
donkey | A domestic donkey ass species, smaller equine relative of the horse with long ears. | species:equid
dragon | General tag for a dragon character, the classic fantasy reptile with optional wings, fire, and scales. | species:mythical
dragoness | A female dragon character, species marker combined with gender. | species:other
drake | A male dragon or specifically a wingless dragon variant, smaller or grounded form. | species:mythical
dromaeosaur | A raptor-family dinosaur like a velociraptor, feathered and swift with sickle-clawed feet. | species:other
dryad | A nature spirit linked to trees or forests, typically female and plant-fused. | species:mythical
eagle | An eagle species character, large raptor with hooked beak and powerful talons. | species:avian
eastern_dragon | Asian-style serpentine dragon, long-bodied with antlered head and minimal wings. | species:mythical
elemental | A creature embodying a natural element — fire, water, earth, or air — as its entire form. | species:mythical
elk | A large elk deer species, massive antlered cervine bigger than typical deer. | species:cervid
equine | An equine character of the horse family, horses, donkeys, and zebras included. | species:equid
ermine | A stoat in its white winter coat, the pure-white fur with black tail tip the seasonal phase. | species:other
fairy | A small winged magical creature, typically humanoid with insect-style wings. | species:mythical
fallow_deer | A spotted European fallow deer species, distinctive white-spotted summer coat. | species:cervid
faun | A nature spirit with human upper body and deer legs, hooves, and small antlers. | species:mythical
fawn | A young deer fawn character, the juvenile form with white-spotted coat. | species:cervid
feline | A feline character of the cat family, including domestic and wild cat species. | species:felid
fennec_fox | A fennec fox species, large-eared desert fox with a small body and oversized ears. | species:canid
fenrir | The giant wolf from Norse mythology, cosmic beast foretold to kill Odin at Ragnarok. | species:other
ferret | A ferret species character, slender domesticated mustelid with a long flexible body. | species:mustelid
fisher | A large North American mustelid, dark-furred and predatory, despite the name not a fish eater. | species:other
flying_squirrel | A gliding flying squirrel species, skin flaps between limbs allowing extended glides. | species:rodent
