TAG DATABASE: META, SETTING & CHARACTER
========================================
Total tags: 1434
Categories: 12
Last updated: 2026-02-26

================================================================================
SEX, GENDER & PAIRING
================================================================================
_transformation | A tag indicating a transformation into a specified gender, the gender-shift the focus. | meta:pairing
ambiguous_gender | A character whose gender is deliberately undefined or unclear in the scene. | meta:pairing
andromorph | A male-bodied character with an added vagina, masculine build combined with feminine internal anatomy. | meta:pairing
bicurious | A character questioning or exploring attraction outside their usual orientation, curiosity framing the scene. | meta:pairing
bisexual | A character attracted to more than one gender, bisexual orientation framing their pairings. | meta:pairing
bisexual_awakening | A character discovering their bisexual attraction for the first time, the realisation central. | meta:pairing
bottom | The receptive or penetrated sexual role in the scene, bottoming framing the position. | meta:pairing
couple | An established romantic pair as the central characters of the scene. | meta:pairing
cuntboy | A male-presenting character with a vagina rather than male genitalia, trans-masculine or fantasy framing. | meta:pairing
dickgirl | A female-presenting character with a penis rather than female genitalia, futanari-type framing. | meta:pairing
duo | A scene featuring exactly two characters as the focus. | meta:pairing
female | A female-identified character, gender tag for cast with feminine identity. | meta:pairing
female_character | A supporting or secondary female character in the scene rather than the protagonist. | meta:pairing
female_protagonist | A female character serving as the lead or POV of the scene or story. | meta:pairing
femboy | A male character with visibly feminine presentation, soft features and often feminine clothing. | meta:pairing
ff | A female/female pairing, two women as the participants in the scene. | meta:pairing
fff | A three-female pairing, three women as the participants in the scene. | meta:pairing
fmf | A female/male/female threesome pairing, two women and one man in the scene. | meta:pairing
foursome | A sexual encounter involving four participants, all engaging together in the scene. | meta:pairing
fta_transformation, mtf_transformation, etc. | Explicit tag showing the transformation path (e.g., Female → Andromorph). | meta:pairing
futa | Shorthand abbreviation for futanari, a feminine character with both penis and optional vagina. | meta:pairing
futanari | A female-presenting character with both a penis and vagina, classic futa intersex configuration. | meta:pairing
gay | A male homosexual orientation or scene, two men as the romantic or sexual framing. | meta:pairing
gay_with_exceptions | A primarily gay character with rare opposite-sex attraction or interaction. | meta:pairing
genderfluid | A character whose gender identity shifts over time, fluid rather than fixed framing. | meta:pairing
group_sex_pairing | A sexual pairing with more than four participants, orgy-level group framing. | meta:pairing
gynomorph | A female-bodied character with an added penis, feminine build combined with masculine genital anatomy. | meta:pairing
herm | A female-bodied character with both penis and vagina, full hermaphrodite configuration. | meta:pairing
heterosexual | Opposite-sex attraction or heterosexual content, male-female pairing as the orientation framing. | meta:pairing
homosexual | Same-sex attraction or homosexual content, the shared-gender pairing framing the scene. | meta:pairing
intersex | A character with both sets of genitalia, form varies depending on the specific intersex sub-type. | meta:pairing
male | A male-identified character, gender tag for cast with masculine identity. | meta:pairing
male_harem | One male with multiple female partners as the harem configuration. | meta:pairing
male_protagonist | A male character serving as the lead or POV of the scene or story. | meta:pairing
